"Country","ISO 3166-1 alpha-3","Year","Total","Coal","Oil","Gas","Cement","Flaring","Other","Per Capita"
"Afghanistan","AFG",1856,0,,,,,,,
"Afghanistan","AFG",1857,0,,,,,,,
"Afghanistan","AFG",1858,0,,,,,,,
"Afghanistan","AFG",1859,0,,,,,,,
"Afghanistan","AFG",1860,0,,,,,,,
"Afghanistan","AFG",1861,0,,,,,,,
"Afghanistan","AFG",1862,0,,,,,,,
"Afghanistan","AFG",1863,0,,,,,,,
"Afghanistan","AFG",1864,0,,,,,,,
"Afghanistan","AFG",1865,0,,,,,,,
"Afghanistan","AFG",1866,0,,,,,,,
"Afghanistan","AFG",1867,0,,,,,,,
"Afghanistan","AFG",1868,0,,,,,,,
"Afghanistan","AFG",1869,0,,,,,,,
"Afghanistan","AFG",1870,0,,,,,,,
"Afghanistan","AFG",1871,0,,,,,,,
"Afghanistan","AFG",1872,0,,,,,,,
"Afghanistan","AFG",1873,0,,,,,,,
"Afghanistan","AFG",1874,0,,,,,,,
"Afghanistan","AFG",1875,0,,,,,,,
"Afghanistan","AFG",1876,0,,,,,,,
"Afghanistan","AFG",1877,0,,,,,,,
"Afghanistan","AFG",1878,0,,,,,,,
"Afghanistan","AFG",1879,0,,,,,,,
"Afghanistan","AFG",1880,0,,,,,,,
"Afghanistan","AFG",1881,0,,,,,,,
"Afghanistan","AFG",1882,0,,,,,,,
"Afghanistan","AFG",1883,0,,,,,,,
"Afghanistan","AFG",1884,0,,,,,,,
"Afghanistan","AFG",1885,0,,,,,,,
"Afghanistan","AFG",1886,0,,,,,,,
"Afghanistan","AFG",1887,0,,,,,,,
"Afghanistan","AFG",1888,0,,,,,,,
"Afghanistan","AFG",1889,0,,,,,,,
"Afghanistan","AFG",1890,0,,,,,,,
"Afghanistan","AFG",1891,0,,,,,,,
"Afghanistan","AFG",1892,0,,,,,,,
"Afghanistan","AFG",1893,0,,,,,,,
"Afghanistan","AFG",1894,0,,,,,,,
"Afghanistan","AFG",1895,0,,,,,,,
"Afghanistan","AFG",1896,0,,,,,,,
"Afghanistan","AFG",1897,0,,,,,,,
"Afghanistan","AFG",1898,0,,,,,,,
"Afghanistan","AFG",1899,0,,,,,,,
"Afghanistan","AFG",1900,0,,,,,,,
"Afghanistan","AFG",1901,0,,,,,,,
"Afghanistan","AFG",1902,0,,,,,,,
"Afghanistan","AFG",1903,0,,,,,,,
"Afghanistan","AFG",1904,0,,,,,,,
"Afghanistan","AFG",1905,0,,,,,,,
"Afghanistan","AFG",1906,0,,,,,,,
"Afghanistan","AFG",1907,0,,,,,,,
"Afghanistan","AFG",1908,0,,,,,,,
"Afghanistan","AFG",1909,0,,,,,,,
"Afghanistan","AFG",1910,0,,,,,,,
"Afghanistan","AFG",1911,0,,,,,,,
"Afghanistan","AFG",1912,0,,,,,,,
"Afghanistan","AFG",1913,0,,,,,,,
"Afghanistan","AFG",1914,0,,,,,,,
"Afghanistan","AFG",1915,0,,,,,,,
"Afghanistan","AFG",1916,0,,,,,,,
"Afghanistan","AFG",1917,0,,,,,,,
"Afghanistan","AFG",1918,0,,,,,,,
"Afghanistan","AFG",1919,0,,,,,,,
"Afghanistan","AFG",1920,0,,,,,,,
"Afghanistan","AFG",1921,0,,,,,,,
"Afghanistan","AFG",1922,0,,,,,,,
"Afghanistan","AFG",1923,0,,,,,,,
"Afghanistan","AFG",1924,0,,,,,,,
"Afghanistan","AFG",1925,0,,,,,,,
"Afghanistan","AFG",1926,0,,,,,,,
"Afghanistan","AFG",1927,0,,,,,,,
"Afghanistan","AFG",1928,0,,,,,,,
"Afghanistan","AFG",1929,0,,,,,,,
"Afghanistan","AFG",1930,0,,,,,,,
"Afghanistan","AFG",1931,0,,,,,,,
"Afghanistan","AFG",1932,0,,,,,,,
"Afghanistan","AFG",1933,0,,,,,,,
"Afghanistan","AFG",1934,0,,,,,,,
"Afghanistan","AFG",1935,0,,,,,,,
"Afghanistan","AFG",1936,0,,,,,,,
"Afghanistan","AFG",1937,0,,,,,,,
"Afghanistan","AFG",1938,0,,,,,,,
"Afghanistan","AFG",1939,0,,,,,,,
"Afghanistan","AFG",1940,0,,,,,,,
"Afghanistan","AFG",1941,0,,,,,,,
"Afghanistan","AFG",1942,0,,,,,,,
"Afghanistan","AFG",1943,0,,,,,,,
"Afghanistan","AFG",1944,0,,,,,,,
"Afghanistan","AFG",1945,0,,,,,,,
"Afghanistan","AFG",1946,0,,,,,,,
"Afghanistan","AFG",1947,0,,,,,,,
"Afghanistan","AFG",1948,0,,,,,,,
"Afghanistan","AFG",1949,0.014656,0.014656,0,0,0,0,,
"Afghanistan","AFG",1950,0.084272,0.021068,0.063204,0,0,0,,0.011266
"Afghanistan","AFG",1951,0.091600,0.025648,0.065952,0,0,0,,0.012098
"Afghanistan","AFG",1952,0.091600,0.031708,0.059892,0,0,0,,0.011946
"Afghanistan","AFG",1953,0.106256,0.037949,0.068307,0,0,0,,0.013685
"Afghanistan","AFG",1954,0.106256,0.042502,0.063754,0,0,0,,0.013511
"Afghanistan","AFG",1955,0.153888,0.062288,0.091600,0,0,0,,0.019304
"Afghanistan","AFG",1956,0.183200,0.062288,0.120912,0,0,0,,0.022652
"Afghanistan","AFG",1957,0.293120,0.076944,0.216176,0,0,0,,0.035702
"Afghanistan","AFG",1958,0.329760,0.091600,0.238160,0,0,0,,0.039569
"Afghanistan","AFG",1959,0.384571,0.109920,0.256480,0,0.018171,0,,0.045414
"Afghanistan","AFG",1960,0.413885,0.127115,0.268758,0,0.018012,0,,0.048001
"Afghanistan","AFG",1961,0.490798,0.175872,0.293120,0,0.021806,0,,0.055835
"Afghanistan","AFG",1962,0.688594,0.296784,0.362736,0,0.029074,0,,0.076775
"Afghanistan","AFG",1963,0.706736,0.263808,0.392048,0,0.050880,0,,0.077176
"Afghanistan","AFG",1964,0.838551,0.300448,0.476320,0,0.061783,0,,0.089632
"Afghanistan","AFG",1965,1.006917,0.381056,0.542272,0,0.083589,0,,0.105269
"Afghanistan","AFG",1966,1.091159,0.428688,0.575248,0,0.087223,0,,0.111535
"Afghanistan","AFG",1967,1.281865,0.399376,0.556928,0.260144,0.065417,0,,0.128058
"Afghanistan","AFG",1968,1.223391,0.332429,0.496817,0.347041,0.047105,0,,0.119381
"Afghanistan","AFG",1969,0.941232,0.362736,0.527616,0,0.050880,0,,0.089688
"Afghanistan","AFG",1970,1.670397,0.436974,0.671986,0.216651,0.047350,0.297436,,0.155343
"Afghanistan","AFG",1971,1.893554,0.359072,0.747456,0.439680,0.043234,0.304112,,0.171893
"Afghanistan","AFG",1972,1.530347,0.190528,0.626544,0.300448,0.046427,0.366400,,0.135588
"Afghanistan","AFG",1973,1.635454,0.310745,0.701918,0.332680,0.067106,0.223005,,0.141288
"Afghanistan","AFG",1974,1.913152,0.304695,0.770914,0.400141,0.070301,0.367102,,0.161177
"Afghanistan","AFG",1975,2.121383,0.398689,0.874189,0.475500,0.069417,0.303589,,0.174493
"Afghanistan","AFG",1976,1.980859,0.425024,0.883024,0.300448,0.079243,0.293120,,0.159422
"Afghanistan","AFG",1977,2.384175,0.450672,0.974624,0.512960,0.064863,0.381056,,0.187918
"Afghanistan","AFG",1978,2.153300,0.576226,0.935909,0.300959,0.057598,0.282608,,0.166421
"Afghanistan","AFG",1979,2.232754,0.351744,1.165152,0.384720,0.063666,0.267472,,0.171931
"Afghanistan","AFG",1980,1.756302,0.315762,0.925256,0.187254,0.023284,0.304747,,0.140655
"Afghanistan","AFG",1981,1.978463,0.333424,1.014928,0.304112,0.032879,0.293120,,0.177358
"Afghanistan","AFG",1982,2.094581,0.384720,0.992944,0.395712,0.039077,0.282128,,0.207625
"Afghanistan","AFG",1983,2.519954,0.384720,1.220112,0.615552,0.006450,0.293120,,0.253225
"Afghanistan","AFG",1984,2.821540,0.392556,1.133644,0.931863,0.047963,0.315513,,0.275442
"Afghanistan","AFG",1985,3.501422,0.399794,1.547825,1.192046,0.031652,0.330105,,0.333081
"Afghanistan","AFG",1986,3.133645,0.425024,1.139504,1.201792,0.037565,0.329760,,0.299915
"Afghanistan","AFG",1987,3.113826,0.442824,2.012838,0.391588,0.043334,0.223242,,0.301647
"Afghanistan","AFG",1988,2.856896,0.366400,1.821008,0.439680,0.042944,0.186864,,0.275139
"Afghanistan","AFG",1989,2.764855,0.337088,1.864976,0.479984,0.042503,0.040304,,0.259047
"Afghanistan","AFG",1990,2.024326,0.278464,1.271408,0.403040,0.045766,0.025648,,0.189281
"Afghanistan","AFG",1991,1.914301,0.249627,1.204085,0.389125,0.045766,0.025697,,0.178155
"Afghanistan","AFG",1992,1.482054,0.021984,1.029584,0.362736,0.045766,0.021984,,0.122916
"Afghanistan","AFG",1993,1.486943,0.018320,1.047904,0.351744,0.046991,0.021984,,0.106182
"Afghanistan","AFG",1994,1.453829,0.014693,1.032171,0.337935,0.046991,0.022039,,0.094065
"Afghanistan","AFG",1995,1.417327,0.014656,1.011264,0.322432,0.046991,0.021984,,0.086323
"Afghanistan","AFG",1996,1.370104,0.007328,0.985616,0.307776,0.047400,0.021984,,0.080092
"Afghanistan","AFG",1997,1.304152,0.003664,0.948976,0.282128,0.047400,0.021984,,0.073313
"Afghanistan","AFG",1998,1.278504,0.003664,0.941648,0.263808,0.047400,0.021984,,0.069134
"Afghanistan","AFG",1999,1.091640,0.003664,0.776768,0.241824,0.047400,0.021984,,0.056671
"Afghanistan","AFG",2000,1.047128,0.003664,0.787760,0.223504,0.010216,0.021984,,0.053581
"Afghanistan","AFG",2001,1.069098,0.069616,0.762112,0.208848,0.006538,0.021984,,0.054300
"Afghanistan","AFG",2002,1.340995,0.055109,0.727438,0.547416,0.011033,0,,0.063856
"Afghanistan","AFG",2003,1.559602,0.091813,0.991575,0.466408,0.009807,0,,0.068871
"Afghanistan","AFG",2004,1.237247,0.091600,0.908672,0.227168,0.009807,0,,0.052529
"Afghanistan","AFG",2005,1.889507,0.106256,1.447280,0.329760,0.006211,0,,0.077403
"Afghanistan","AFG",2006,2.159318,0.160944,1.656993,0.329204,0.012177,0,,0.084869
"Afghanistan","AFG",2007,2.799909,0.747456,1.733072,0.307776,0.011605,0,,0.108091
"Afghanistan","AFG",2008,4.254477,1.078145,2.864051,0.297040,0.015242,0,,0.160989
"Afghanistan","AFG",2009,6.391888,1.514100,4.593624,0.271291,0.012872,0,,0.233406
"Afghanistan","AFG",2010,8.364803,2.246032,5.833088,0.271136,0.014547,0,,0.296733
"Afghanistan","AFG",2011,11.838316,4.180624,7.335328,0.307776,0.014588,0,,0.404740
"Afghanistan","AFG",2012,10.035314,3.125392,6.573216,0.307776,0.028930,0,,0.329389
"Afghanistan","AFG",2013,9.250510,3.326912,5.591264,0.296784,0.035550,0,,0.293283
"Afghanistan","AFG",2014,9.170309,3.705783,5.164638,0.271244,0.028644,0,,0.280299
"Afghanistan","AFG",2015,9.791093,2.843264,6.624512,0.282128,0.041189,0,,0.290076
"Afghanistan","AFG",2016,9.067598,2.878736,5.794097,0.318639,0.076126,0,,0.261795
"Afghanistan","AFG",2017,9.867969,3.447824,6.074912,0.300448,0.044785,0,,0.276852
"Afghanistan","AFG",2018,10.818048,3.847200,6.620848,0.293120,0.056880,0,,0.294876
"Afghanistan","AFG",2019,11.081621,3.954767,6.842956,0.245569,0.038329,0,,0.293401
"Afghanistan","AFG",2020,11.681766,4.150072,7.219776,0.251244,0.060674,0,,0.299746
"Afghanistan","AFG",2021,11.874211,4.203536,7.419570,0.238847,0.012259,0,,0.296119
"Albania","ALB",1750,0,,,,,,,
"Albania","ALB",1751,0,,,,,,,
"Albania","ALB",1752,0,,,,,,,
"Albania","ALB",1753,0,,,,,,,
"Albania","ALB",1754,0,,,,,,,
"Albania","ALB",1755,0,,,,,,,
"Albania","ALB",1756,0,,,,,,,
"Albania","ALB",1757,0,,,,,,,
"Albania","ALB",1758,0,,,,,,,
"Albania","ALB",1759,0,,,,,,,
"Albania","ALB",1760,0,,,,,,,
"Albania","ALB",1761,0,,,,,,,
"Albania","ALB",1762,0,,,,,,,
"Albania","ALB",1763,0,,,,,,,
"Albania","ALB",1764,0,,,,,,,
"Albania","ALB",1765,0,,,,,,,
"Albania","ALB",1766,0,,,,,,,
"Albania","ALB",1767,0,,,,,,,
"Albania","ALB",1768,0,,,,,,,
"Albania","ALB",1769,0,,,,,,,
"Albania","ALB",1770,0,,,,,,,
"Albania","ALB",1771,0,,,,,,,
"Albania","ALB",1772,0,,,,,,,
"Albania","ALB",1773,0,,,,,,,
"Albania","ALB",1774,0,,,,,,,
"Albania","ALB",1775,0,,,,,,,
"Albania","ALB",1776,0,,,,,,,
"Albania","ALB",1777,0,,,,,,,
"Albania","ALB",1778,0,,,,,,,
"Albania","ALB",1779,0,,,,,,,
"Albania","ALB",1780,0,,,,,,,
"Albania","ALB",1781,0,,,,,,,
"Albania","ALB",1782,0,,,,,,,
"Albania","ALB",1783,0,,,,,,,
"Albania","ALB",1784,0,,,,,,,
"Albania","ALB",1785,0,,,,,,,
"Albania","ALB",1786,0,,,,,,,
"Albania","ALB",1787,0,,,,,,,
"Albania","ALB",1788,0,,,,,,,
"Albania","ALB",1789,0,,,,,,,
"Albania","ALB",1790,0,,,,,,,
"Albania","ALB",1791,0,,,,,,,
"Albania","ALB",1792,0,,,,,,,
"Albania","ALB",1793,0,,,,,,,
"Albania","ALB",1794,0,,,,,,,
"Albania","ALB",1795,0,,,,,,,
"Albania","ALB",1796,0,,,,,,,
"Albania","ALB",1797,0,,,,,,,
"Albania","ALB",1798,0,,,,,,,
"Albania","ALB",1799,0,,,,,,,
"Albania","ALB",1800,0,,,,,,,
"Albania","ALB",1801,0,,,,,,,
"Albania","ALB",1802,0,,,,,,,
"Albania","ALB",1803,0,,,,,,,
"Albania","ALB",1804,0,,,,,,,
"Albania","ALB",1805,0,,,,,,,
"Albania","ALB",1806,0,,,,,,,
"Albania","ALB",1807,0,,,,,,,
"Albania","ALB",1808,0,,,,,,,
"Albania","ALB",1809,0,,,,,,,
"Albania","ALB",1810,0,,,,,,,
"Albania","ALB",1811,0,,,,,,,
"Albania","ALB",1812,0,,,,,,,
"Albania","ALB",1813,0,,,,,,,
"Albania","ALB",1814,0,,,,,,,
"Albania","ALB",1815,0,,,,,,,
"Albania","ALB",1816,0,,,,,,,
"Albania","ALB",1817,0,,,,,,,
"Albania","ALB",1818,0,,,,,,,
"Albania","ALB",1819,0,,,,,,,
"Albania","ALB",1820,0,,,,,,,
"Albania","ALB",1821,0,,,,,,,
"Albania","ALB",1822,0,,,,,,,
"Albania","ALB",1823,0,,,,,,,
"Albania","ALB",1824,0,,,,,,,
"Albania","ALB",1825,0,,,,,,,
"Albania","ALB",1826,0,,,,,,,
"Albania","ALB",1827,0,,,,,,,
"Albania","ALB",1828,0,,,,,,,
"Albania","ALB",1829,0,,,,,,,
"Albania","ALB",1830,0,,,,,,,
"Albania","ALB",1831,0,,,,,,,
"Albania","ALB",1832,0,,,,,,,
"Albania","ALB",1833,0,,,,,,,
"Albania","ALB",1834,0,,,,,,,
"Albania","ALB",1835,0,,,,,,,
"Albania","ALB",1836,0,,,,,,,
"Albania","ALB",1837,0,,,,,,,
"Albania","ALB",1838,0,,,,,,,
"Albania","ALB",1839,0,,,,,,,
"Albania","ALB",1840,0,,,,,,,
"Albania","ALB",1841,0,,,,,,,
"Albania","ALB",1842,0,,,,,,,
"Albania","ALB",1843,0,,,,,,,
"Albania","ALB",1844,0,,,,,,,
"Albania","ALB",1845,0,,,,,,,
"Albania","ALB",1846,0,,,,,,,
"Albania","ALB",1847,0,,,,,,,
"Albania","ALB",1848,0,,,,,,,
"Albania","ALB",1849,0,,,,,,,
"Albania","ALB",1850,0,,,,,,,
"Albania","ALB",1851,0,,,,,,,
"Albania","ALB",1852,0,,,,,,,
"Albania","ALB",1853,0,,,,,,,
"Albania","ALB",1854,0,,,,,,,
"Albania","ALB",1855,0,,,,,,,
"Albania","ALB",1856,0,,,,,,,
"Albania","ALB",1857,0,,,,,,,
"Albania","ALB",1858,0,,,,,,,
"Albania","ALB",1859,0,,,,,,,
"Albania","ALB",1860,0,,,,,,,
"Albania","ALB",1861,0,,,,,,,
"Albania","ALB",1862,0,,,,,,,
"Albania","ALB",1863,0,,,,,,,
"Albania","ALB",1864,0,,,,,,,
"Albania","ALB",1865,0,,,,,,,
"Albania","ALB",1866,0,,,,,,,
"Albania","ALB",1867,0,,,,,,,
"Albania","ALB",1868,0,,,,,,,
"Albania","ALB",1869,0,,,,,,,
"Albania","ALB",1870,0,,,,,,,
"Albania","ALB",1871,0,,,,,,,
"Albania","ALB",1872,0,,,,,,,
"Albania","ALB",1873,0,,,,,,,
"Albania","ALB",1874,0,,,,,,,
"Albania","ALB",1875,0,,,,,,,
"Albania","ALB",1876,0,,,,,,,
"Albania","ALB",1877,0,,,,,,,
"Albania","ALB",1878,0,,,,,,,
"Albania","ALB",1879,0,,,,,,,
"Albania","ALB",1880,0,,,,,,,
"Albania","ALB",1881,0,,,,,,,
"Albania","ALB",1882,0,,,,,,,
"Albania","ALB",1883,0,,,,,,,
"Albania","ALB",1884,0,,,,,,,
"Albania","ALB",1885,0,,,,,,,
"Albania","ALB",1886,0,,,,,,,
"Albania","ALB",1887,0,,,,,,,
"Albania","ALB",1888,0,,,,,,,
"Albania","ALB",1889,0,,,,,,,
"Albania","ALB",1890,0,,,,,,,
"Albania","ALB",1891,0,,,,,,,
"Albania","ALB",1892,0,,,,,,,
"Albania","ALB",1893,0,,,,,,,
"Albania","ALB",1894,0,,,,,,,
"Albania","ALB",1895,0,,,,,,,
"Albania","ALB",1896,0,,,,,,,
"Albania","ALB",1897,0,,,,,,,
"Albania","ALB",1898,0,,,,,,,
"Albania","ALB",1899,0,,,,,,,
"Albania","ALB",1900,0,,,,,,,
"Albania","ALB",1901,0,,,,,,,
"Albania","ALB",1902,0,,,,,,,
"Albania","ALB",1903,0,,,,,,,
"Albania","ALB",1904,0,,,,,,,
"Albania","ALB",1905,0,,,,,,,
"Albania","ALB",1906,0,,,,,,,
"Albania","ALB",1907,0,,,,,,,
"Albania","ALB",1908,0,,,,,,,
"Albania","ALB",1909,0,,,,,,,
"Albania","ALB",1910,0,,,,,,,
"Albania","ALB",1911,0,,,,,,,
"Albania","ALB",1912,0,,,,,,,
"Albania","ALB",1913,0,,,,,,,
"Albania","ALB",1914,0,,,,,,,
"Albania","ALB",1915,0,,,,,,,
"Albania","ALB",1916,0,,,,,,,
"Albania","ALB",1917,0,,,,,,,
"Albania","ALB",1918,0,,,,,,,
"Albania","ALB",1919,0,,,,,,,
"Albania","ALB",1920,0,,,,,,,
"Albania","ALB",1921,0,,,,,,,
"Albania","ALB",1922,0,,,,,,,
"Albania","ALB",1923,0,,,,,,,
"Albania","ALB",1924,0,,,,,,,
"Albania","ALB",1925,0,,,,,,,
"Albania","ALB",1926,0,,,,,,,
"Albania","ALB",1927,0,,,,,,,
"Albania","ALB",1928,0,,,,,,,
"Albania","ALB",1929,0,,,,,,,
"Albania","ALB",1930,0,,,,,,,
"Albania","ALB",1931,0,,,,,,,
"Albania","ALB",1932,0,,,,,,,
"Albania","ALB",1933,0.007328,0,0.007328,0,0,0,,
"Albania","ALB",1934,0.007328,0,0.007328,0,0,0,,
"Albania","ALB",1935,0.018320,0,0.018320,0,0,0,,
"Albania","ALB",1936,0.128210,0,0.124576,0,0.003634,0,,
"Albania","ALB",1937,0.296725,0,0.289456,0,0.007269,0,,
"Albania","ALB",1938,0.348080,0,0.348080,0,0,0,,
"Albania","ALB",1939,0.432352,0,0.432352,0,0,0,,
"Albania","ALB",1940,0.692496,0,0.692496,0,0,0,,
"Albania","ALB",1941,0.626485,0,0.619216,0,0.007269,0,,
"Albania","ALB",1942,0.743792,0,0.743792,0,0,0,,
"Albania","ALB",1943,0.461664,0,0.461664,0,0,0,,
"Albania","ALB",1944,0.153888,0,0.153888,0,0,0,,
"Albania","ALB",1945,0.120912,0,0.120912,0,0,0,,
"Albania","ALB",1946,0.483648,0.021984,0.461664,0,0,0,,
"Albania","ALB",1947,0.926992,0,0.926992,0,0,0,,
"Albania","ALB",1948,0.703488,0.007328,0.696160,0,0,0,,
"Albania","ALB",1949,1.014928,0,1.014928,0,0,0,,
"Albania","ALB",1950,0.296725,0.043432,0.246114,0,0.007180,0,,0.236891
"Albania","ALB",1951,0.402981,0.073280,0.311440,0.010992,0.007269,0,,0.312590
"Albania","ALB",1952,0.373669,0.076197,0.279389,0.010885,0.007198,0,,0.281600
"Albania","ALB",1953,0.413973,0.113584,0.274800,0.018320,0.007269,0,,0.302890
"Albania","ALB",1954,0.501909,0.157552,0.307776,0.029312,0.007269,0,,0.356215
"Albania","ALB",1955,0.663006,0.219840,0.384720,0.036640,0.021806,0,,0.456072
"Albania","ALB",1956,0.838789,0.249152,0.509296,0.047632,0.032709,0,,0.558960
"Albania","ALB",1957,1.505607,0.274800,1.135840,0.058624,0.036343,0,,0.971628
"Albania","ALB",1958,1.201465,0.289456,0.806080,0.065952,0.039977,0,,0.750455
"Albania","ALB",1959,1.443319,0.337088,0.992944,0.076944,0.036343,0,,0.872085
"Albania","ALB",1960,2.022231,0.326096,1.575520,0.084272,0.036343,0,,1.181769
"Albania","ALB",1961,2.278533,0.321914,1.814427,0.084137,0.058055,0,,1.287977
"Albania","ALB",1962,2.461733,0.362736,1.956576,0.084272,0.058149,0,,1.346510
"Albania","ALB",1963,2.080617,0.282128,1.648800,0.084272,0.065417,0,,1.101846
"Albania","ALB",1964,2.014695,0.333424,1.535216,0.084272,0.061783,0,,1.033700
"Albania","ALB",1965,2.172159,0.395046,1.620419,0.084130,0.072563,0,,1.080789
"Albania","ALB",1966,2.549579,0.477005,1.900683,0.102740,0.069151,0,,1.231271
"Albania","ALB",1967,2.677493,0.523952,1.916272,0.128240,0.109029,0,,1.255599
"Albania","ALB",1968,3.069214,0.589904,2.183744,0.146560,0.149006,0,,1.397978
"Albania","ALB",1969,3.241303,0.688832,2.220384,0.168544,0.163543,0,,1.434332
"Albania","ALB",1970,3.739486,0.891225,2.482960,0.187047,0.178255,0,,1.608567
"Albania","ALB",1971,4.348023,0.989280,2.938528,0.241824,0.178391,0,,1.819400
"Albania","ALB",1972,5.637977,1.080880,4.081696,0.278464,0.196937,0,,2.296368
"Albania","ALB",1973,5.286406,1.168816,3.495456,0.366400,0.255734,0,,2.097417
"Albania","ALB",1974,4.341512,1.210141,2.423950,0.429050,0.278371,0,,1.679208
"Albania","ALB",1975,4.591172,1.260416,2.454880,0.553264,0.322612,0,,1.732438
